word(String),polarity(String),subjectivity(String)
Darlin…,0.0,0.0
"Kiddo and her ‘ hathi’ started piano lessons last week 😀 ",0.0,0.06666666666666667
"  ""you know what? you should be a singer if not an actor,"" clea says, looking at her boyfriend right after playing the piano wh…",0.2857142857142857,0.5357142857142857
"  🎹 Chinese pianist Lang Lang gives a solo piano performance at Jungfraujoch, the highest railway station in Europe ",0.0,0.0
" piano is easily the most versatile instrument but idk I've always loved violin music",0.5444444444444444,0.7111111111111112
"  Dexter Gordon Quartet",0.0,0.0
Bud Powell-Pi…,0.0,0.0
"  Miles Davis  ",0.0,0.0
Philly Jo…,0.0,0.0
"  Piano in the car, piano at home, piano at groove? Pls man, put on some alternative RNB for crying out loud 😭",-0.05,0.7
"  Bill Evans Trio",0.0,0.0
"siwon getting up to record kyuhyun when he started playing the piano ",0.0,0.0
"""A Night In Tunisia""  ",0.0,0.0
"“It Never Entered My Mind""  ",0.0,0.0
"""Peace Piece""",0.0,0.0
Dizzy Gillespie's Original Composition,0.375,0.75
"Beautiful Ballad!  ",1.0,1.0
"Beautiful! ",1.0,1.0
Grammy Hall Of Fame!,0.0,0.0
Red Garland-Brilliant Piano,0.0,0.0
,0.0,0.0
Paul Chambers-Bass,0.0,0.0
Jazz Music Musica Piano BillEvans Musique Jazz…,0.0,0.0
"  heechul recording kyuhyun when he started singing ",0.0,0.0
